"term","estimate","std.error","statistic","p.value"
"(Intercept)",-1.09849027692104,2.44795068850401,-0.44873872749142,0.653743986927641
"ACHEMM",0.0222704565324482,0.042314085152271,0.526313081147943,0.598819360636114
"AGE",0.00194011062556901,0.0018485322068974,1.04954115396524,0.294252129152547
"SEXCD",-0.038258176629801,0.0532412717036526,-0.71858119473086,0.472612827035526
"RACCAT",0.0789395672071056,0.0596432685255992,1.3235285248196,0.186044997941517
"B_METANM",-0.0373818962769087,0.0186122732881056,-2.00845408286574,0.0449371197016847
"PRADJYN",0.15136916685633,0.216019346643381,0.700720417908772,0.483685150381183
"B_LDHYN",-0.0855351246211643,0.0542291037887728,-1.57729187180248,0.11513125397061
"B_ECOG",0.0308946468694924,0.0350732528672595,0.88086060869285,0.378662874195166
"DIAGTYPE",0.0370335029429387,0.0487966970568955,0.758934624197183,0.448119480043524
"PDPROMED",0.02811634834695,0.195343377502542,0.143932948771627,0.885590358079013
"KRAS",0.0245721651701885,0.025279710976873,0.972011317402647,0.331344324193977
"B_WEIGHT",-0.0114436224124811,0.0113197421444315,-1.01094373586155,0.312354857201067
"B_HEIGHT",-0.00433338720379473,0.00643076845788468,-0.673852158132302,0.500603672901066
"B_BSA",1.08280230673691,0.962909644260795,1.12451081281687,0.261140114801924
"DIAGMONS",0.00192460645322402,0.00098691589876406,1.95012204751616,0.0515171858146356
"METMONS",0.00140665904647769,0.00275856454024025,0.5099242834301,0.610247841164021
"CHILDPOT",0.134157181407845,0.0743106006526182,1.80535724687508,0.071401812631665
"Absolute_Neutrophil_Count",0.078352354970666,0.152953076273057,0.512264002005351,0.608610346508688
"Alanine_Amino_Transferase",0.00103049038246986,0.00116331921823733,0.885819099620196,0.375986283728117
"Albumin",0.00683659821231621,0.0064529414583167,1.05945455362919,0.289718690310384
"Alkaline_Phosphatase",-0.000765156017316152,0.000204297666661558,-3.74529983538049,0.000193355586736326
"Aspartate_Amino_Transferase",-0.000555255842484669,0.0015482767455618,-0.358628290501898,0.719969606319466
"Blood_Urea_Nitrogen",0.00596195003340257,0.011289034407741,0.528118687397605,0.597566216402774
"Calcium",0.224183388382502,0.164274496525528,1.36468772161273,0.172742261206831
"Carbon_Dioxide",-0.000984481991670869,0.00748647159326631,-0.131501466265678,0.895412321448462
"Carcinoembryonic_Antigen",-8.00649243656471e-06,5.76674595667203e-06,-1.38839000308334,0.165412162233021
"Chloride",-0.0116023909925124,0.00924823344027256,-1.2545521333824,0.210014789529539
"Creatinine",0.000241616036222344,0.00111531326687198,0.216635131490888,0.828548990122211
"Hematocrit",3.05095128488109,1.65252393248791,1.84623727675024,0.0652340499579372
"Hemoglobin",-0.00661640116684716,0.00424225085075025,-1.55964401908884,0.119247066535887
"Lactate_Dehydrogenase",-4.80885069104905e-05,5.46867426073047e-05,-0.879344876249169,0.379483405142454
"Lymphocytes",-0.153130031965971,0.185158706884586,-0.827020422331104,0.408476801548717
"`Lymphocytes_(%)`",0.00340421649899187,0.0144524996701206,0.235545170502914,0.813847058820125
"Magnesium",-0.239092129755537,0.198706857525427,-1.2032404554782,0.229246031437287
"Partial_Thromboplastin_Time",-0.000501160142959788,0.00470927373447478,-0.106419836946616,0.915276443937382
"Phosphorus",-0.0666384001866573,0.069749866336082,-0.955391080831145,0.339674076216702
"Platelets",0.000335047106726821,0.000191969625300798,1.74531312545844,0.0813216469623183
"Potassium",0.00465808439465203,0.0445846566704962,0.104477296507579,0.916817271882118
"Prothrombin_Time",0.0159528595712787,0.0171994380543185,0.927522138856928,0.353940587905681
"Red_Blood_Cells",-0.102940096087937,0.0564994529327816,-1.82196624470695,0.0688404945352402
"Sodium",0.0118404079048249,0.00902059861681709,1.31259669205887,0.18970250858018
"Total_Bilirubin",-0.00167021025694509,0.00443058441089829,-0.376972900648666,0.70629562459558
"`Total_Neutrophils_(pct)`",-0.00556128378725688,0.012267294865062,-0.453342309647727,0.650427556457321
"Total_Protein",-0.00460506653704878,0.00410676882891542,-1.12133570914069,0.262487890451209
"Uric_Acid",-0.000209449919210964,0.000222572919027213,-0.941039548415841,0.346974079630709
"White_Blood_Cells",-0.0398356980904816,0.142605648031776,-0.279341657502971,0.780056220060933
"ELIGIBLE",-0.0797423037413607,0.0755552997608019,-1.05541641676778,0.291559627663737
"CHANY5YR",-0.117978374993757,0.219773974404115,-0.536816860657129,0.591546229846186
"RAANY5YR",-0.0244446531258597,0.0776992086982034,-0.314606204302631,0.753144266448928
"Biopsy",0.0176377425555731,0.0343545369036766,0.513403589314154,0.607813496164266
"Resection",-0.00504836330332398,0.0658609969720652,-0.0766517899124004,0.93892008903618
"Diastolic_blood_pressure",0.00268508198350027,0.00220365541378516,1.21846726430253,0.223412517583546
"Pulse",-0.00374390071310125,0.00133638974205098,-2.80150362973859,0.00521168769215792
"Respiration",-0.02947627881596,0.00959114072031706,-3.07328186245042,0.00219040334034065
"Systolic_blood_pressure",0.000403070276544501,0.00117862594143102,0.341983204658738,0.732455064880041
"Temperature",0.0185241972397427,0.0490785877385423,0.377439492318466,0.705949043010669
