"term","estimate","std.error","statistic","p.value"
"(Intercept)",-15.4205173983073,14.6466132321126,-1.05283843806962,0.292739007960079
"ACHEMM",-0.37379877810181,0.253174233617727,-1.476448739512,0.140224486768212
"AGE",-0.026202122004507,0.0110601640828294,-2.36905364226784,0.0180747642668912
"SEXCD",0.245617041336953,0.318553930964096,0.771037546432403,0.44091668509878
"RACCAT",0.0201252373721166,0.356858449026741,0.0563955748476858,0.955041032852338
"B_METANM",0.129210220112797,0.111361217160734,1.16028024304279,0.246287473858336
"PRADJYN",1.27238114481141,1.29249001452427,0.984441760101127,0.325201668891556
"B_LDHYN",-0.0288305077150172,0.324464341887393,-0.0888557045970339,0.92921925036124
"B_ECOG",-0.324979145040616,0.209850783331247,-1.54862011893299,0.121876103973966
"DIAGTYPE",-0.670148796646077,0.291961088984878,-2.29533599486193,0.0219767564225269
"PDPROMED",0.0483396279296707,1.16878126310738,0.041359003139007,0.967020212327684
"KRAS",-0.0207653448281311,0.151253924777432,-0.137287973576136,0.890838379904555
"B_WEIGHT",0.082297019942904,0.0677284415308439,1.21510281475214,0.224692219209218
"B_HEIGHT",0.0397222319697452,0.0384766649223096,1.03237201171023,0.302215827712006
"B_BSA",-7.07853127222567,5.7612946221469,-1.22863553011422,0.219576689981962
"DIAGMONS",-0.00587081055509302,0.00590492918411426,-0.994222008773106,0.320421155092205
"METMONS",-0.0339492985928505,0.0165050824293404,-2.05689966943153,0.0400258073754577
"CHILDPOT",-0.144641016062808,0.444616238356505,-0.325316539489119,0.745028200415932
"Absolute_Neutrophil_Count",0.310206449430357,0.915151012376943,0.338967498516611,0.734724866802601
"Alanine_Amino_Transferase",-0.0160385035762163,0.00696038802375483,-2.30425423431554,0.0214686245896037
"Albumin",-0.0471533848722592,0.0386093307325517,-1.221295059448,0.222340984903664
"Alkaline_Phosphatase",0.00120216924280332,0.00122235669283172,0.98348481245549,0.325671902198646
"Aspartate_Amino_Transferase",0.0121059262884473,0.00926367135376241,1.30681733258278,0.191657453706313
"Blood_Urea_Nitrogen",-0.122035884299327,0.0675447105657342,-1.80674227896147,0.0711852744731403
"Calcium",-0.0292060828054984,0.982889494387577,-0.0297145131495136,0.976302289897013
"Carbon_Dioxide",-0.0540883314037554,0.0447931628748532,-1.20751310986616,0.227598289070116
"Carcinoembryonic_Antigen",-3.37882964881248e-06,3.45036760878714e-05,-0.0979266568642578,0.92201553053257
"Chloride",0.0568602723768621,0.0553341613113707,1.02757990776988,0.304463999597102
"Creatinine",0.0031032226330284,0.0066731581355917,0.465030585215293,0.642038519647642
"Hematocrit",6.08295487637977,9.88740459913087,0.615222611292197,0.538586022011403
"Hemoglobin",-0.0270628338191125,0.0253822953772451,-1.06620908065604,0.286656946430632
"Lactate_Dehydrogenase",-0.000234419544268996,0.000327202492948407,-0.71643569141742,0.473935443094253
"Lymphocytes",1.08236960578628,1.10784419761084,0.977005257707266,0.328867531057873
"`Lymphocytes_(%)`",-0.129009366677481,0.086472400730773,-1.49191378506009,0.136123494942409
"Magnesium",1.28980265975515,1.18890568442047,1.08486541586675,0.278314324382988
"Partial_Thromboplastin_Time",0.00172595627220527,0.0281765933100353,0.0612549662485478,0.951171746860483
"Phosphorus",-0.687675824382663,0.417328388195785,-1.64780504713724,0.0997928519313686
"Platelets",-0.000254897370377089,0.00114859538114824,-0.221920943232656,0.824433145983083
"Potassium",-0.0123467562254164,0.266759549285837,-0.0462842145987681,0.963095492422081
"Prothrombin_Time",0.120198198265947,0.102907921378608,1.16801696755419,0.243154538810613
"Red_Blood_Cells",-0.00619986520141063,0.338048327042942,-0.018340174186465,0.985372138822752
"Sodium",-0.0101365343963639,0.0539721734114633,-0.187810379972783,0.851073833450206
"Total_Bilirubin",-0.0343813307574499,0.0265091354018703,-1.29696160347139,0.195025466840219
"`Total_Neutrophils_(pct)`",-0.0557146876569161,0.0733978523900108,-0.759077900002679,0.4480338226755
"Total_Protein",0.0643659107456638,0.0245716774252422,2.61951634932101,0.00897546751062921
"Uric_Acid",-0.00118931820013101,0.0013317014416357,-0.893081709568621,0.372087114486584
"White_Blood_Cells",-0.332864299985935,0.853240133163236,-0.390117959819705,0.696555151929728
"ELIGIBLE",0.0607201472296509,0.452063539690448,0.134317727262918,0.893185764693215
"CHANY5YR",-1.80515404044612,1.31495475652266,-1.37278794687946,0.170210318315956
"RAANY5YR",-0.235865494003311,0.464891006010931,-0.507356543692233,0.612047172331203
"Biopsy",-0.0856115169926222,0.20555055179808,-0.416498599705642,0.677159045665277
"Resection",0.506425352254956,0.394060449935242,1.28514635847921,0.199120183547969
"Diastolic_blood_pressure",-0.0215297522747382,0.0131849422842283,-1.63290455207316,0.102890081143678
"Pulse",-0.00954895390087811,0.00799590603319923,-1.19423038005081,0.232748591606429
"Respiration",0.0868546270089706,0.0573858490062551,1.51351994460348,0.130550131542233
"Systolic_blood_pressure",0.0116088315190524,0.00705197142677099,1.64618243842885,0.100126470991027
"Temperature",0.500203140743854,0.293647701303993,1.70341241740567,0.0888867175738185
