"term","estimate","std.error","statistic","p.value"
"(Intercept)",-18.4256316621335,11.2134143211876,-1.64317763835039,0.100694307206902
"PRSURG",-2.41487418791018,0.944287695058866,-2.55735005395749,0.0107096844578503
"LIVERMET",1.36465514031096,0.940353113238325,1.45121563495595,0.147067124459928
"DIAGMONS",0.0247906218017687,0.0185946250534519,1.33321439558506,0.182797693697342
"AGE",-0.0976697102825196,0.0284490173647536,-3.43314881601239,0.000623733964878929
"SEX",0.756627940646752,0.785691309791442,0.963009175763438,0.33580072569497
"B_WEIGHT",0.050260668959256,0.0219335589996285,2.29149628476196,0.0221641853701848
"B_HEIGHT",0.0744598358534562,0.0428453120537318,1.73787591417416,0.0825735847686245
"RACE",-0.739973906506832,0.625286060008042,-1.1834166053491,0.236955529629046
"B_ECOG",-0.719873730141369,0.294739347769262,-2.44240796347601,0.014780463278244
"HISSUBTY",-0.513617429352632,0.846689038133328,-0.606618730395978,0.544256442552483
"B_METANM",-0.0169860862413473,0.315344932897657,-0.0538650996712226,0.957054556983325
"DIAGTYPE",0.752450051716328,0.592876349241066,1.26915174248312,0.204713968063499
"Albumin",0.10464607341084,0.0587928921018043,1.77991028625768,0.0754268585118072
"Alkaline_Phosphatase",0.00446273329253758,0.0014091444617783,3.1669806847949,0.00159201545235397
"Creatinine",-0.0117296286528539,0.0167360230395072,-0.700861167863168,0.48357021428531
"Hemoglobin",-0.0495369882051302,0.0195941672992278,-2.52814970131864,0.0116360073047749
"Lactate_Dehydrogenase",-0.000149875773446906,0.00043837432138655,-0.341889946867459,0.732513265554531
"Platelets",-0.0138197549264467,0.00285568490375549,-4.83938368279792,1.53127034291883e-06
"White_Blood_Cells",0.100508683260614,0.107300788573876,0.936700322490313,0.349163174034214
"`KRAS_exon_2_(c12/13)`",2.20750620507188,0.571920242971253,3.85981477697554,0.000121553075725996
"`KRAS_exon_3_(c61)`",7.22156771476297,4.33450226558381,1.66606619913493,0.0960470490857809
"`KRAS_exon_4_(c117/146)`",3.45232472970888,1.38637830137591,2.49017510320423,0.0129468438807079
"`NRAS_exon_2_(c12/13)`",3.98320402582493,1.7232079215417,2.31150517359582,0.0210292906679312
"`NRAS_exon_3_(c61)`",1.57847247123963,4.93926758619609,0.319576221310834,0.749363521599811
"`BRAF_exon_15_(c600)`",0.424776498456126,1.22694842633307,0.346205667116457,0.729268804568798
"`KRAS_exon_3_(c59/c61)`",-5.4404866275326,4.07808578609366,-1.33407851450422,0.182514472959549
"`NRAS_exon_3_(c59/c61)`",-1.09575973861457,4.69242333898149,-0.233516811987472,0.815413041888954
"non_target_count",-0.298471718193424,0.206905305698774,-1.44255226894935,0.149493395691324
"target_count",0.0537536349946665,0.177074921168064,0.30356435931234,0.761529736017155
"target_LSSLD",-9.19190144873607e-05,0.00644994517652519,-0.0142511311292852,0.988632775309806
"target_LSLD",-0.0232517549167274,0.0158811392977954,-1.4641112630978,0.143511575734553
