"Covariate","DF","LogLik","diff","statistic","p-value"
"full model",29,-1022.27216333856,NA,NA,NA
"AGE",28,-1023.21641903046,-1,1.88851138379323,0.169369918380989
"B_METANM",28,-1023.16926104638,-1,1.7941954156438,0.180415827891409
"PRADJYN",28,-1022.43370345058,-1,0.32308022403663,0.569762396715689
"B_LDHYN",28,-1023.18686418354,-1,1.82940168996583,0.176198231226192
"B_ECOGI",28,-1033.23689646792,-1,21.9294662587242,2.82857216590737e-06
"DIAGTYPE",29,-1022.27216333856,0,0,1
"TUMCAT",29,-1022.27216333856,0,0,1
"B_HEIGHT",28,-1023.46911520185,-1,2.39390372658841,0.121809114404683
"METMONS",28,-1028.41116340112,-1,12.278000125121,0.00045832925660953
"BIOPTPCT",28,-1023.45867970224,-1,2.37303272735267,0.12344702329418
"Absolute_Neutrophil_Count",28,-1022.40228019304,-1,0.260233708951773,0.609959639095532
"Aspartate_Amino_Transferase",28,-1035.04660319106,-1,25.548879705,4.31316411095706e-07
"Bicarbonate",28,-1031.74141760195,-1,18.9385085267884,1.34999970546274e-05
"Chloride",28,-1023.61514386266,-1,2.68596104819198,0.10123613157601
"Creatinine",28,-1034.63180475797,-1,24.7192828388158,6.63173381465318e-07
"Mean_Corpuscular_Volume",28,-1026.21008220028,-1,7.87583772343328,0.00500996575379561
"Phosphorus",28,-1023.0497938777,-1,1.55526107827836,0.212360440750142
"Potassium",28,-1022.92247725455,-1,1.300627831984,0.254098574721579
"Red_Blood_Cells",28,-1022.81388171011,-1,1.08343674310208,0.297930003368747
"Serum_Urea",28,-1022.69100198016,-1,0.837677283196854,0.360061915012905
"Total_Bilirubin",28,-1023.31745430504,-1,2.09058193295186,0.148209605350561
"Total_Neutrophils",28,-1022.27859392544,-1,0.0128611737579831,0.909707799061639
"target_count",28,-1023.52598801525,-1,2.50764935337588,0.113294811596406
"target_LSSLD",28,-1022.35212117319,-1,0.15991566926732,0.689234169876668
"target_LSLD",28,-1022.50722123952,-1,0.470115801923839,0.492933899074011
"ELIGIBLE",28,-1023.39174091225,-1,2.23915514737359,0.134554480574917
"OTANY",28,-1023.3236941978,-1,2.10306171848379,0.147004516116292
"Pulse",28,-1024.29383824621,-1,4.04334981530587,0.0443457144633614
