"trial","outcome","r.squared","adj.r.squared","sigma","statistic","p.value","df","logLik","AIC","BIC","deviance","df.residual","nobs","chi2","df","P"
"NCT00052910","OS",0.163317286536296,0.149268509631122,1.74285468662825,11.6250181520177,9.26357877864941e-17,9,-1073.01040350442,2168.02080700884,2215.34961574203,1628.1227578643,536,546,77.8133356581649,8,1.34559030584569e-13
"NCT00052910","PFS",0.326888184817919,0.314306655562179,1.51607391251991,25.9815939837988,2.68892417441104e-40,10,-996.388007035664,2016.77601407133,2068.40744178027,1229.68685789953,535,546,123.159238292516,9,0
"NCT00113763","OS",0.130801358609812,0.101584597554679,1.71457733492322,4.4769287862877,1.03688256799662e-06,12,-717.881962244296,1463.76392448859,1518.55296656753,1049.49983116337,357,370,41.6471843975586,11,1.86399217192434e-05
"NCT00113763","PFS",0.143683549680339,0.127124944287417,1.16549859765474,8.67727361518983,7.39919613510356e-10,7,-577.628501653838,1173.25700330768,1208.47853035842,491.736087170934,362,370,55.7765970432816,6,3.22998072732616e-10
"NCT00113763","RSP",0.256424055336629,0.224916600054283,0.102564718355514,8.13852001181146,6.74880601277757e-16,15,325.757543820366,-617.515087640732,-550.985536544882,3.72391059377642,354,370,120.507192449008,14,0
"NCT00115765","ORR",0.135205527487135,0.121627836493575,0.462090828561331,9.95791755396914,1.23926700415388e-19,13,-537.668610112447,1105.33722022489,1176.37392043853,176.801129219932,828,842,124.858387379843,12,0
"NCT00115765","OS",0.0915263920544736,0.0772629175335896,2.77431269851648,6.41683707013079,1.10225044081797e-11,13,-2046.86675690062,4123.73351380125,4194.77021401488,6372.95946589602,828,842,75.4035972589471,12,3.08204572974091e-11
"NCT00115765","PFS",0.182841022863907,0.158836352788918,1.13747808301448,7.61689380827653,2.02453686544275e-23,24,-1290.51797244766,2633.03594489531,2756.16622526561,1057.08067008939,817,842,182.663715830946,23,0
"NCT00115765","TF",0.121318230289254,0.0966120191604674,0.996225641923407,4.91043445135545,8.06285121093894e-13,23,-1179.38788056474,2408.77576112949,2527.17026148555,811.836803233826,818,842,87.2899838172472,22,9.86862147556167e-10
"NCT00339183","ORR",0.13365021724389,0.122507454764711,0.277833039637127,11.9943521629966,7.47272281023745e-23,12,-124.19554051396,276.39108102792,344.322476994646,72.0193876537672,933,946,NA,NA,NA
"NCT00339183","OS",0.0923996138950925,0.0885415888744553,2.15918190147291,23.9499778774973,6.87938367497199e-19,4,-2067.97323527405,4147.9464705481,4177.05992596241,4387.00456111292,941,946,41.6405230720943,3,4.78245554269563e-09
"NCT00339183","PFS",0.193741078560066,0.170027580870656,0.72376394794051,8.17007600893009,2.14906808905777e-28,27,-1022.27216333856,2102.54432667712,2243.25936117963,480.879843646681,918,946,NA,NA,NA
"NCT00364013","OS",0.0623625581614227,0.0470583561727624,13.0709927528021,4.07486507350276,2.96393237467503e-07,15,-3721.95806337178,7477.91612674356,7560.20541774147,157011.932568757,919,935,60.2040253182536,14,1.08038119561726e-07
"NCT00364013","PFS",0.129122120863339,0.114907574413883,8.1279110684056,9.08380167615422,5.37323100987139e-20,15,-3277.74748098406,6589.49496196812,6671.78425296602,60711.8403307015,919,935,106.170923242969,14,3.33066907387547e-16
"NCT00364013","RSP",0.270864921024849,0.256536939123591,0.0902329361459436,18.904610774324,2.31286964441323e-51,18,931.902645998452,-1823.8052919969,-1726.99436141113,7.45805621321443,916,935,216.004178573572,17,0
"NCT00460265","ORR",0.0999492700185279,0.08585845624191,26.4733393442156,7.09322198157085,6.53434842207587e-09,8,-2436.90048503615,4893.80097007231,4936.33925818806,358128.062673371,511,520,50.5363336649826,7,1.13335492102351e-08
"NCT00460265","OS",0.0910415148657942,0.0676888265125438,19.7779736124565,3.89854536182866,4.74486486323286e-06,13,-2282.72789509488,4595.45579018977,4659.2632223634,197931.129548803,506,520,49.8792498624533,12,1.46702265246823e-06
"NCT00460265","PFS",0.0232977440907412,0.0195193988067596,3.64628154856715,6.16612361752969,0.00225697280765761,2,-1409.07179876629,2826.14359753259,2843.15891277889,6873.70584094478,517,520,5.54217269622128,1,0.0185635216025282
