"num_trees","mtry","min_node_size","mean_Z_cv_error"
1000,17,223,58333.4368060171
1000,17,223,58768.7052176515
500,17,223,59149.5904458607
500,17,223,59185.1670334435
50000,17,25,59482.9447288871
1000,17,223,59517.0957763313
1e+05,17,223,59793.7231172918
10000,17,223,59798.38824652
500,17,223,59804.4472621307
50000,17,223,59864.3796851316
1000,17,223,59892.419831136
500,17,223,59898.1031503276
1000,17,223,60055.1209206145
10000,17,25,60501.106032336
10000,17,10,60967.3770917217
1e+05,17,25,60969.6473588925
500,17,25,61029.6102063086
1000,17,10,61039.9423391276
1000,17,25,61049.1176597435
5000,17,25,61370.5283875477
10000,17,10,61382.1259855388
1e+05,17,25,61679.4610945459
10000,17,10,62245.0143461316
5000,17,10,62259.9011500133
5000,17,4,62305.4085281159
5000,17,5,62679.4011914541
50000,17,10,62693.3902933036
50000,17,5,63429.9393687278
1e+05,17,10,63495.8939044467
1000,17,10,63651.2561219996
10000,17,10,63944.2523873619
1e+05,17,5,64118.0034468169
1e+05,17,10,64363.0771399414
50000,17,5,64701.6803666781
10000,17,4,64793.0652448357
500,17,4,65207.7731861013
50000,17,5,65448.9724447688
500,17,4,65625.16221011
50000,17,4,65799.3675780163
10000,17,10,66203.5022815844
5000,17,5,66378.7463927698
10000,17,4,66456.7417326345
10000,17,5,66699.003276863
50000,17,5,66962.6896262582
50000,17,4,67123.3591438372
50000,17,4,67389.5041440529
10000,17,4,67473.0992337738
50000,17,4,68136.7581132023
1000,17,4,68646.2612949891
1e+05,17,4,69498.5004465804
