"maxterms","eps","degree","sum_rsstesthat"
3,0.1,18,1267.93005980769
3,1e-04,14,1457.78561942749
5,5e-05,1,1582.85385369875
3,0.1,14,1582.87569641452
3,5e-05,14,1586.61157008877
5,1e-04,9,1746.81810767832
3,5e-05,9,1763.67937738784
5,0.1,9,1901.54762167316
5,1e-04,9,1947.66847772858
5,0.1,27,2547.82399367857
5,0.5,21,2811.53832307893
5,0.5,9,2855.23748883371
5,5e-06,18,3214.56150259822
7,5e-05,14,3514.74432832766
5,0.005,18,3630.39112565012
5,5e-05,3,3632.95869340481
7,0.2,18,4658.30211378071
7,1,27,5134.40594674478
7,5e-06,9,5267.94986836865
7,0.005,1,5618.70749641837
11,0.005,9,5898.9789684761
11,0.01,3,6046.17827059901
11,0.2,18,7367.41447182851
11,0.2,1,7560.37375620994
15,0.005,9,7841.68273398469
11,5e-06,18,8292.10133940612
15,0.01,9,9093.50098699272
11,1e-04,1,9681.75684326561
15,5e-06,21,9842.34633206525
21,0.005,9,9939.42890943095
15,0.5,9,10681.7630080078
15,0.005,3,10805.0997798486
15,5e-05,14,11581.6058917235
21,1,18,14306.7725305469
21,5e-05,14,18108.5429744575
37,0.005,3,18179.90386089
21,5e-06,18,18246.8656500446
21,0.01,18,18687.5608729062
51,0.01,3,22434.8064816884
21,0.005,9,22757.4044747191
37,0.2,14,23973.9871976205
37,0.5,21,26042.8971288258
37,5e-06,1,28635.9394271702
37,5e-06,18,29601.4637254612
37,5e-05,1,33890.6196203232
51,1e-04,9,38773.9677915939
51,1,18,40106.3586199369
101,1,1,70530.5865713123
101,0.2,14,82903.0025114816
51,0.1,27,284898.911059367
