"num_trees","mtry","min_node_size","mean_Z_cv_error"
1000,18,223,3044.22156944255
5000,18,223,3070.42897792861
5000,18,4,3229.17280721684
1000,18,25,3320.68446458959
1000,18,223,3348.60347144003
50000,18,5,3371.09302847051
10000,18,5,3388.2085521927
500,18,25,3389.37370843109
500,18,223,3461.74975557863
5000,18,5,3475.02846503729
5000,18,223,3599.01886143798
50000,18,25,3622.69309913332
500,18,25,3634.90039086784
50000,18,25,3648.47435811904
1e+05,18,4,3653.65957058975
5000,18,223,3654.33829127801
5000,18,10,3727.03995620025
500,18,10,3779.49364460996
500,18,25,3805.55898106839
5000,18,10,3827.36075214251
1e+05,18,10,3828.96769461079
1e+05,18,4,3852.44232713429
1e+05,18,25,3853.14206286516
10000,18,4,3860.58731333611
1e+05,18,5,3877.60324758613
500,18,223,3887.46574583439
500,18,10,3934.83799045633
1e+05,18,4,3941.30758806747
50000,18,10,3943.90244002276
5000,18,10,3947.85354796758
1000,18,5,3948.20586361159
10000,18,25,3981.55091403552
1000,18,25,3981.98876705137
10000,18,5,4000.25793283682
50000,18,223,4035.02285855174
500,18,10,4073.42839806389
10000,18,223,4157.62031533715
500,18,10,4165.93789727555
1000,18,5,4196.94640136547
5000,18,25,4197.54139922172
50000,18,5,4226.66477395749
10000,18,5,4238.99041134876
5000,18,4,4282.72021393227
10000,18,10,4286.2170541678
1000,18,4,4383.08265814475
10000,18,5,4402.00853653187
1e+05,18,4,4501.19772896445
1000,18,4,4515.31942355754
50000,18,4,4577.34756106577
1000,18,10,4765.49213361977
