"num_trees","mtry","min_node_size","mean_Z_cv_error"
5000,10,93,199.710604807806
50000,10,93,203.176185300982
500,10,93,212.488490489329
1e+05,10,10,213.477788538078
1e+05,10,93,214.062068123233
50000,10,93,220.536809890111
50000,10,93,224.032533020657
1000,10,25,226.643981945008
50000,10,5,230.147144934886
1e+05,10,25,230.280812511553
1000,10,10,231.022285829301
5000,10,5,232.709837819399
5000,10,25,233.280928850492
50000,10,93,235.504238614513
1000,10,10,240.772995631888
1e+05,10,25,245.268072474367
1e+05,10,10,246.702057394323
10000,10,10,247.313512430841
10000,10,10,251.580661071998
50000,10,5,253.311611766006
10000,10,93,256.848433989081
1e+05,10,4,257.023023553869
5000,10,25,261.39039255532
500,10,4,262.15445481995
1000,10,93,263.425640293005
1e+05,10,4,264.387788310164
1e+05,10,93,264.62212428199
5000,10,25,266.750041720291
5000,10,25,267.231553089029
50000,10,25,274.084997560145
50000,10,4,274.598129297999
1000,10,4,278.093840293063
1000,10,5,279.875709307341
1e+05,10,25,282.107860944609
10000,10,25,282.919511828432
500,10,93,283.328788757722
50000,10,5,287.432157066166
1e+05,10,10,289.011457570163
5000,10,5,294.071013175094
1e+05,10,5,294.207035354596
500,10,5,301.017681570756
500,10,4,305.286371027199
1e+05,10,4,306.313096370868
5000,10,4,306.452917305574
1000,10,10,308.121085519152
5000,10,10,311.597895488945
5000,10,4,319.664520413215
10000,10,10,320.618903387858
10000,10,5,322.590323978305
10000,10,5,330.018832401136
