"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"35",500,10,93,162.016976457648
"26",500,10,93,175.126221870819
"44",5000,10,93,177.940551335936
"38",1000,10,93,181.948436324766
"30",500,10,93,185.472109448664
"13",1000,10,4,195.9865969815
"27",1000,10,10,197.923031485188
"11",10000,10,10,204.534689062205
"8",500,10,93,207.543218025557
"1",10000,10,25,208.214189546614
"28",50000,10,25,209.072771711389
"29",1e+05,10,93,211.125567239857
"17",500,10,93,211.344624421148
"5",10000,10,25,213.67675649261
"33",1e+05,10,10,214.057709520237
"37",10000,10,5,217.486422934148
"50",1e+05,10,10,220.15864757854
"46",1000,10,25,223.232689476695
"23",1000,10,5,223.852800016107
"19",500,10,5,225.250164947913
"2",1e+05,10,10,229.071159238098
"20",1e+05,10,4,230.227499455873
"41",10000,10,10,231.356249295249
"22",5000,10,25,231.893543303275
"36",5000,10,4,232.898508504339
"6",50000,10,5,234.315424797928
"45",500,10,4,234.349026972234
"9",500,10,25,234.711092504241
"31",1e+05,10,10,236.505987769978
"34",5000,10,93,237.849590000832
"18",1e+05,10,25,238.49215732332
"32",1000,10,93,241.019666148283
"21",5000,10,25,241.50007825924
"7",50000,10,5,242.643579166395
"10",1000,10,5,244.348706324171
"43",1000,10,4,249.013806236911
"24",50000,10,4,251.701013968982
"25",1e+05,10,4,256.151584666616
"3",1000,10,93,259.701740670152
"15",1000,10,10,261.472141206406
"42",5000,10,4,263.168236672179
"14",50000,10,10,264.1427880615
"16",50000,10,4,265.630289463395
"12",50000,10,5,267.87031045964
"4",1000,10,5,269.51599480016
"39",5000,10,5,274.058946262448
"48",10000,10,5,274.386000227549
"40",1000,10,4,275.063580740147
"49",1e+05,10,4,298.24469097483
"47",500,10,4,309.983832429656
