"num_trees","mtry","min_node_size","mean_Z_cv_error"
10000,27,25,39.9565649492012
5000,26,25,61.001606185814
1000,27,5,62.9061798116908
500,26,4,63.3494617091817
10000,27,5,64.1079367369943
1000,27,4,64.9128465290003
500,27,5,65.0067409173221
5000,26,93,65.7407096139259
1e+05,26,25,67.8793527270186
1e+05,27,25,67.9161588554535
5000,27,4,68.278862241554
50000,27,10,70.8499724471867
1000,26,4,75.1580558174293
1e+05,26,25,75.1984442825216
500,26,10,75.2207121870314
50000,27,5,75.3595557143644
1000,26,10,77.6188962219654
5000,26,10,77.8362811023113
50000,27,93,79.6992400025631
500,26,10,82.9983651774054
1e+05,26,10,84.4291827912898
10000,27,25,86.6626409069657
50000,26,25,87.8057097815068
50000,27,93,87.8337195062539
50000,26,10,89.1334975730569
10000,26,25,89.169947033945
1000,27,5,89.9545973786339
1e+05,26,5,90.4057238395502
5000,27,93,91.1661115515096
1000,26,93,92.2871980099086
1000,26,10,92.7609731622602
500,26,4,93.1200222744431
10000,26,93,93.306771117498
1000,27,10,93.7647723343439
500,26,93,94.2374572286475
10000,27,4,94.5587947002571
50000,27,5,94.6700159851853
500,27,25,97.1144447461962
500,26,4,98.2414585627627
50000,26,4,104.209077515249
1e+05,27,5,106.855015534438
50000,27,25,108.448577686409
10000,26,4,111.424657776372
500,26,5,111.976992917689
5000,26,93,112.841070959447
50000,26,5,113.903945516481
1e+05,26,4,120.173200133231
1000,26,93,121.724770698019
500,27,4,131.26720405371
5000,26,4,139.028240312956
