"num_trees","mtry","min_node_size","mean_Z_cv_error"
1e+05,26,4,319.774110366864
1e+05,27,93,329.792839203019
50000,26,25,356.805028866066
5000,26,93,365.572668814097
1000,26,4,377.926269269313
1e+05,27,93,378.719359117308
1e+05,26,10,389.190845987255
50000,27,4,407.230371798007
1e+05,27,4,412.845912741816
10000,26,4,429.629546448321
1000,26,5,430.988522713132
50000,27,93,431.126329378359
50000,27,93,432.528385529679
50000,26,25,442.808871925307
5000,26,10,444.043197173119
1e+05,26,4,455.951224788897
10000,26,93,487.380200840762
1e+05,26,5,489.671812094579
50000,26,25,493.236723225504
10000,27,5,495.445069380296
1e+05,27,5,497.771247076503
1e+05,27,93,504.144703234557
5000,27,10,505.97517213556
500,27,93,507.051455769382
10000,26,4,507.343298218772
50000,27,5,510.842886184536
5000,27,4,536.158045934302
500,26,10,542.397224806664
10000,26,93,543.501486045935
500,26,5,545.339818018877
1e+05,27,10,550.160235818161
1e+05,26,4,556.400599148866
500,27,25,560.456476020778
50000,26,5,563.58551342115
5000,26,5,566.193803553481
1000,27,4,572.835530137955
5000,26,4,585.350312961675
1000,26,10,592.123529776017
50000,26,25,593.337391981835
10000,26,93,594.350189236378
500,27,93,607.448451258298
500,27,25,609.488041881352
1000,27,25,630.76088080252
10000,26,5,635.031921182171
5000,27,93,648.018288293777
1000,26,93,689.36675245371
5000,27,10,696.589189964903
5000,26,10,730.776801065722
1000,27,25,741.511408181481
500,26,4,770.755803964938
