"","maxterms","eps","degree","sum_rsstesthat"
"31",3,0.01,21,0.198382792469389
"26",3,0.1,2,0.280759899039243
"32",3,5e-06,40,0.301386737232264
"28",3,1e-04,5,0.301517361848694
"13",3,0.01,5,0.353761291084151
"23",5,5e-06,21,0.534308338977816
"4",3,0.2,40,0.534367814062349
"17",5,5e-06,27,0.688704030073466
"34",11,0.1,32,0.690741173861856
"22",5,5e-06,40,0.757695203210362
"27",5,5e-05,2,0.795140684852093
"1",5,1,21,0.873532375441728
"25",7,1,2,1.18722459474055
"15",7,1,2,1.33861209348299
"2",11,0.2,13,1.43264285211297
"10",11,5e-06,32,1.49644140412266
"29",7,0.2,27,1.53992544585423
"16",7,0.005,40,1.55581289048098
"33",55,1e-04,2,5.94444905185301
"20",7,0.01,27,9.37325461104187
"21",101,0.005,40,9.43151835534582
"24",55,1e-04,2,14.513805784355
"35",15,1,21,15.3322822315819
"11",101,0.1,2,29.5133882286037
"5",55,0.01,21,384.177239957904
"3",15,0.005,21,NA
"6",101,5e-05,2,NA
"7",15,0.2,13,NA
"8",7,1,21,NA
"9",51,0.5,5,NA
"12",21,1e-04,40,NA
"14",5,5e-05,27,NA
"18",101,0.005,27,NA
"19",51,5e-06,21,NA
"30",15,0.5,13,NA
