"","maxterms","eps","degree","sum_rsstesthat"
"31",3,5e-05,11,325.040862266947
"16",3,0.01,56,335.758944291995
"26",3,0.01,5,673.748240230643
"7",3,1e-04,28,682.638955625177
"13",5,0.01,44,1267.38127789609
"24",5,0.005,84,1269.49596222034
"30",5,0.005,67,1332.768554263
"34",5,0.2,11,1339.45746107056
"35",5,0.01,56,1360.36265658626
"1",5,0.5,44,1380.55743174301
"28",7,5e-05,11,1802.68093536224
"23",7,0.2,5,2004.87962376818
"2",7,0.2,44,2011.57972601029
"4",7,0.01,28,2016.52355551475
"3",7,5e-05,84,2042.3173344104
"36",7,0.01,11,2113.29919653599
"10",7,5e-05,11,2394.52805251639
"19",11,0.01,44,3434.85145635038
"21",15,5e-05,11,3829.57676690014
"5",11,1,84,3853.77596273098
"33",21,0.005,84,6434.64449857047
"15",21,0.01,11,7141.10131161846
"6",51,5e-06,28,15665.472604383
"9",51,0.005,11,18172.4648843962
"27",51,0.01,5,19376.0264250692
"17",21,1,11,33321.9141376913
"12",113,5e-05,44,36183.0815125683
"29",113,1e-04,56,38823.1397087123
"32",21,0.5,56,49882.3926668287
"14",101,1e-04,5,52215.8117600831
"18",51,1e-04,11,103064.586323096
"11",113,0.01,67,111979.706696334
"8",15,0.5,56,3166961.29054128
"20",5,5e-06,11,NA
"22",15,0.005,67,NA
"25",101,1e-04,84,NA
