"","maxterms","eps","degree","sum_rsstesthat"
"31",3,0.1,56,43.445505759717
"22",3,0.005,67,44.994857007659
"8",3,0.01,67,50.1492837125377
"27",3,1e-04,84,50.6018129358328
"23",3,0.005,84,59.4092689096296
"17",3,5e-06,5,60.8904730359436
"10",3,0.01,28,67.4528813282459
"18",5,0.5,28,83.7149156696037
"1",5,0.1,11,115.201716493395
"4",7,1e-04,28,145.74502571198
"33",7,5e-06,11,167.844388119424
"3",7,0.5,28,192.079324741424
"13",5,0.2,28,198.485610119715
"9",11,0.2,84,200.991916432781
"15",11,5e-06,67,241.661047110635
"29",11,5e-05,11,246.278635866576
"32",11,0.01,84,251.015287836461
"6",15,0.005,56,294.458872276651
"25",11,0.5,5,334.863707144654
"11",11,1,84,366.343912465038
"5",11,0.005,84,367.088207379999
"19",15,5e-05,11,379.75950500127
"20",11,0.5,56,555.189409195938
"7",21,1e-04,11,612.572045374861
"21",21,5e-05,67,773.00505848527
"14",11,0.1,56,1929.85759572832
"12",51,0.01,44,2403.49182454485
"2",15,0.005,84,2972.39716682641
"30",7,0.2,44,3526.79605698027
"26",15,0.005,56,3841.84244171305
"24",15,0.1,56,60002.1501822824
"16",51,1e-04,5,89285.5603431739
"28",15,0.2,56,NA
