"maxterms","eps","degree","sum_rsstesthat"
3,5e-06,72,222.735235674587
3,0.005,90,245.313687260908
3,0.005,60,264.087503765194
3,1e-04,60,314.896982035391
3,5e-05,30,345.015027439519
5,0.01,6,375.972830501276
5,0.01,72,484.119094983196
5,0.1,90,486.480768618345
5,0.1,6,516.422423257704
5,0.1,48,561.191004982313
5,0.005,72,610.116964723103
11,5e-05,12,1061.8470654811
11,1e-04,30,1207.39998791742
11,1,60,1500.14375326278
15,5e-05,12,1990.30837279009
21,5e-05,60,2681.62880700338
11,0.1,72,2792.8169161429
21,0.01,90,2868.01086970483
7,1,30,3645.13336721583
11,0.5,60,7433.32307277681
21,0.1,60,18502.0452219749
101,0.01,48,33394.7353326792
15,0.1,30,37174.37530566
121,0.005,90,411699.553556198
