"","maxterms","eps","degree","sum_rsstesthat"
"21",3,0.2,12,43.8134960406266
"5",5,1,48,56.6791737991695
"40",3,5e-05,12,76.6615973617212
"17",5,0.01,30,85.0162049030735
"26",3,0.005,48,86.8590237660101
"16",5,0.005,48,93.6219920237081
"9",7,1e-04,90,104.099413666651
"4",5,0.1,90,105.988553321603
"8",5,1,48,148.794780390435
"13",5,0.01,72,154.614393562592
"6",5,5e-06,12,167.949952082744
"18",5,0.2,90,168.109718493334
"39",5,5e-06,12,173.833544226201
"12",7,5e-05,12,192.958359769951
"3",7,5e-05,6,207.636005377501
"11",5,0.5,12,207.829253698329
"20",7,1e-04,30,253.820273282229
"25",7,1e-04,6,256.725251059078
"29",7,0.1,30,261.139983106154
"27",11,0.1,30,262.127848934192
"42",7,0.1,60,268.348123050487
"36",5,1e-04,60,291.705957428738
"31",5,0.005,30,307.691218041484
"33",11,0.005,12,338.970737042956
"34",7,0.2,30,352.280778522304
"19",15,0.1,12,427.229289092478
"24",7,1,60,439.910016575451
"7",21,0.005,6,477.981931769903
"2",15,5e-06,48,543.08647747644
"14",15,5e-05,72,551.0578595043
"15",15,5e-06,30,660.344232300756
"22",15,1,30,959.119509718035
"28",21,1,90,1359.76963268334
"30",15,0.5,60,4273.7712736762
"10",101,5e-06,6,5211.18932003706
"35",101,5e-06,72,5227.76581536279
"38",121,5e-06,90,6141.81815926491
"32",15,0.5,30,32239.8946295585
"37",7,0.1,72,1329298.16864818
"41",15,0.2,60,51887696.1150951
"1",7,0.005,90,NA
"23",51,0.005,60,NA
