"","maxterms","eps","degree","sum_rsstesthat"
"9",3,5e-06,90,2.00321538309202
"14",3,0.01,60,2.05678712156183
"5",3,0.2,90,2.0728052703152
"16",3,0.5,72,2.07565193532545
"6",3,5e-05,72,2.28834588935906
"12",3,0.005,30,2.51684585487776
"22",5,1,30,3.53063449085229
"2",5,5e-05,72,4.0615864905982
"1",5,0.1,6,4.28436472731511
"24",5,0.5,48,4.41580731121299
"13",5,0.1,6,5.23488521587746
"20",7,1,6,5.53975000245504
"11",7,0.5,72,6.27108013601453
"27",7,0.2,30,6.74459516681681
"19",7,0.005,72,7.12354629320989
"17",5,0.01,60,8.59190550339095
"21",11,0.2,90,10.4348925576743
"8",21,0.01,48,18.9020545986571
"18",21,1e-04,90,25.5174374981241
"28",15,0.1,6,32.4996453435009
"10",15,5e-06,48,40.5979960674494
"15",7,5e-06,90,62.1415050401846
"4",51,0.01,12,98.3297130796652
"23",5,0.2,60,124.617459970311
"25",101,5e-05,48,222.270493702899
"3",51,1,12,30570.1415922584
"7",21,1e-04,12,55734.7339572571
"26",7,0.1,90,123102.011933274
