"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"29",5000,60,25,1131.48748511022
"3",1e+05,60,25,1198.59838977703
"50",1000,60,5,1253.97783679586
"37",50000,60,93,1313.84055913677
"39",1000,60,93,1333.64294017178
"38",5000,28,5,1356.40531263811
"36",5000,60,4,1359.10008805021
"15",500,28,25,1367.11926496666
"40",1e+05,60,5,1373.28195157203
"20",1000,60,93,1377.28010150791
"31",5000,28,4,1383.8511650434
"1",1000,60,25,1383.89711823252
"27",50000,60,5,1386.28075589832
"19",1e+05,60,93,1404.93116688696
"2",1000,60,10,1407.64059912274
"18",1000,60,25,1423.27644381334
"9",1000,60,25,1428.63741638023
"41",10000,60,4,1436.10941343121
"34",1e+05,60,4,1437.75908146417
"44",1e+05,60,5,1443.1550033148
"22",500,28,4,1449.97048553958
"47",500,28,4,1452.31132719687
"32",500,28,5,1459.84654961011
"21",50000,28,93,1468.53893074008
"5",50000,60,5,1472.25031022095
"43",10000,28,25,1490.48102927766
"28",50000,60,93,1493.60670149158
"13",5000,28,5,1504.15537111118
"7",500,28,5,1505.65467447695
"17",500,28,93,1512.29635920697
"49",1000,60,4,1515.05569237059
"35",1000,60,4,1523.9595708522
"14",500,28,25,1527.89435439876
"25",1000,28,25,1530.48052677406
"45",10000,60,4,1534.1642407032
"46",5000,60,10,1534.50645355103
"33",500,28,5,1539.25700186929
"10",500,60,10,1541.61036952259
"48",10000,60,5,1542.57774726277
"16",10000,28,4,1550.11937990667
"8",1e+05,28,5,1561.37993248931
"24",50000,28,5,1583.90542827551
"11",500,28,93,1605.79897878787
"26",50000,60,4,1621.9147947064
"23",1000,28,93,1623.53830126558
"42",10000,28,4,1629.37302110099
"6",500,28,10,1651.39434893371
"12",500,28,25,1667.44169122945
"4",500,60,93,1694.84163933692
"30",500,60,5,1874.31088311236
