"num_trees","mtry","min_node_size","mean_Z_cv_error"
5000,28,10,1195.22555013119
50000,60,93,1236.26243434888
500,60,25,1238.30049772389
50000,28,5,1257.45155514795
1000,28,10,1296.29886833673
1e+05,60,5,1354.46330229844
1000,60,5,1354.99279027424
1000,60,93,1363.76239610778
5000,28,25,1368.98264111452
5000,60,4,1375.70335082684
50000,28,93,1376.29140579174
5000,28,4,1431.45596517906
1000,28,93,1436.94815574006
1e+05,28,10,1437.19589128342
5000,60,4,1442.37013299765
50000,60,4,1443.57006191822
50000,28,93,1448.29177122499
500,60,4,1452.60757822069
10000,28,93,1459.85436967792
1000,60,4,1463.26259287765
10000,60,10,1468.65210908041
500,28,4,1469.23713573246
1e+05,28,5,1474.77398753369
10000,60,10,1478.33997672176
1e+05,28,5,1482.51565441117
1e+05,60,25,1484.4167723171
5000,28,10,1487.62417707576
10000,28,4,1493.78644570638
500,28,5,1507.68784302039
1e+05,28,10,1516.56544616317
1e+05,28,4,1521.09288404996
50000,28,25,1523.65927824032
1000,60,93,1536.67318015116
500,60,5,1555.84198205358
1e+05,60,5,1566.76391116354
500,60,4,1584.04419308393
50000,28,5,1589.97778095737
5000,60,5,1592.90007459283
1e+05,28,10,1598.42215387852
1000,60,10,1613.53932872643
500,28,5,1619.69037784037
5000,60,25,1621.4507188176
50000,28,25,1625.67234540942
50000,28,4,1626.80175749972
50000,28,93,1635.08813916201
1000,60,5,1651.03220396479
1000,28,5,1685.13802419733
10000,60,4,1692.9814198933
5000,28,10,1709.53577646113
500,28,93,1746.02366402043
