"maxterms","eps","degree","sum_rsstesthat"
3,0.2,2,2886.74503721036
3,5e-05,24,3200.7329997225
3,0.005,20,3333.04496963989
3,0.005,2,3472.78507588755
5,5e-06,20,5388.68580529979
5,0.1,2,5473.11993469491
5,1,16,5680.59196431761
5,5e-05,4,5925.67463162871
7,5e-06,24,7439.25856432024
7,5e-05,20,7592.80446405249
7,5e-05,2,8058.21406657438
11,0.005,2,8760.70766255091
7,5e-06,16,9217.56676870442
7,0.2,24,9655.70922956778
7,5e-06,24,9693.68824891651
7,0.005,2,9753.25937908493
7,1,4,9969.49498974896
7,5e-05,20,10194.1734218194
7,0.005,24,11372.6287093251
15,5e-06,2,12877.4053721677
11,0.01,10,14932.6237266017
11,5e-05,10,15881.7068015202
5,1,30,16896.7499483218
15,5e-06,10,17483.3937434173
15,0.2,2,18355.3714200082
15,0.005,16,18986.0167213662
11,0.01,24,19171.3390759869
15,5e-05,2,20863.8383115705
15,1,30,25459.7352673142
21,1e-04,20,29201.2204863095
15,0.2,24,29834.2068855391
21,5e-05,4,36117.2694039529
51,1e-04,2,42963.0229326274
41,0.005,2,51049.7728267036
41,5e-05,20,63179.2004406406
51,5e-06,2,64910.0226925057
51,0.1,2,70708.5062307368
41,5e-06,24,77461.2955719179
51,0.005,4,82480.5521499176
51,0.005,4,92592.8091047783
51,1e-04,4,106832.973091081
101,5e-05,2,126215.676710857
101,0.005,4,136626.711895758
41,0.5,4,140119.400810232
21,0.1,30,140451.226571258
101,0.005,20,168317.566891654
51,0.5,30,182728.782202891
101,0.5,30,355675.208284771
41,0.2,16,3773232.3710037
51,0.2,16,27723346.7767673
