"num_trees","mtry","min_node_size","mean_Z_cv_error"
5000,20,4,47.1193437855096
1000,20,5,48.0996805828096
1e+05,20,4,48.3062746372267
50000,20,10,49.1870991561347
500,20,25,49.3768345532044
10000,20,93,49.8557448950862
1000,20,93,49.9978950879399
1000,20,10,50.2663298124362
1e+05,20,4,50.2946434106589
1e+05,20,25,50.3790193824446
1e+05,20,93,50.3830497296411
500,20,10,50.4077747066895
50000,20,93,50.4997018934559
5000,20,93,50.5370269988592
1e+05,20,5,50.5444080975769
1e+05,20,25,50.8247495457291
10000,20,10,51.0219123120119
500,20,93,51.2533952140271
5000,20,25,51.4398529875189
1e+05,20,93,51.5453648953656
50000,20,5,51.5556980175544
5000,20,25,51.5689893433408
500,20,25,51.5850429500556
500,20,25,51.7408199160984
10000,20,93,51.7986217392589
1e+05,20,10,51.8228583269451
1e+05,20,4,51.9954313952295
5000,20,25,52.0931893226168
5000,20,10,52.1588312326378
10000,20,93,52.19494263633
10000,20,10,52.3935733593038
10000,20,4,52.6008695080647
50000,20,93,52.6661716060601
10000,20,10,52.7567311911945
5000,20,10,52.8366979807762
10000,20,93,52.8921092195143
1e+05,20,5,52.9134779116229
1000,20,25,52.9894813020546
1e+05,20,25,53.1454435656641
5000,20,5,53.3392519774706
500,20,4,53.6017118408086
5000,20,93,53.7687141647744
10000,20,5,53.9223014568726
1e+05,20,10,54.0292191149397
1e+05,20,4,54.0481605861156
1e+05,20,4,54.6391908669205
10000,20,25,54.7791216505355
1e+05,20,4,54.9360631526707
1000,20,4,56.9541158750214
500,20,4,58.4695225694563
