"maxterms","eps","degree","sum_rsstesthat"
3,5e-06,2,386.303085215921
3,5e-05,10,485.513258639308
3,0.005,21,521.904507927916
3,1e-04,31,545.410180242937
3,0.1,2,584.470776157264
3,1e-04,25,623.806922828627
3,1,25,754.045730896971
5,5e-06,21,778.779085141517
5,0.005,25,831.344977076834
5,5e-06,16,977.15845916495
11,1e-04,2,1005.59744178169
5,0.2,2,1074.62740419178
5,0.005,4,1361.94209078685
5,5e-05,16,1551.34424766078
11,5e-06,4,1657.58150594661
11,1,25,2460.97641227977
11,0.1,25,2520.94311321742
11,0.01,2,2531.62579448812
11,5e-06,25,2580.61919799554
11,1,25,2629.29831045487
11,0.1,10,2712.78276488431
11,1,10,2748.45877624536
21,0.1,10,2903.62593935109
7,0.1,25,3107.63088142196
11,0.1,2,3303.56300647182
15,0.005,16,3981.28904146147
15,5e-05,10,4181.64437509224
15,0.5,31,4314.42935662336
11,0.5,25,4370.49410464151
15,5e-05,16,4571.38562431377
21,1e-04,10,5171.62993775279
11,5e-05,10,5228.5751600202
43,5e-06,31,10492.4977055857
11,0.2,4,12065.4015588932
51,1e-04,16,12739.1853844789
51,5e-05,25,13965.4053911811
43,5e-06,25,14029.9681657895
101,5e-06,4,17075.8227095251
43,5e-05,25,18580.9949965717
101,1e-04,10,28054.4190219649
51,5e-05,4,32705.1548287934
43,0.5,4,34991.9690725604
101,0.01,25,61548.9831105554
51,0.2,25,62075.3203568598
43,0.2,16,168965.1301502
51,0.5,4,2599326.39628975
43,0.5,21,48243711.4863597
43,5e-05,16,NA
