"num_trees","mtry","min_node_size","mean_Z_cv_error"
1000,21,4,1465.63278875218
1e+05,21,25,1559.42480209302
500,21,10,1560.06324653604
1e+05,21,25,1561.77835803781
1000,21,93,1639.33120290876
1e+05,21,5,1661.27385898236
50000,21,93,1691.25190745114
1e+05,21,10,1722.45959622823
50000,21,93,1774.69360598151
1e+05,21,25,1824.7509128582
5000,21,5,1837.2524223058
10000,21,10,1838.40532834654
10000,21,10,1860.28455618405
5000,21,93,1873.38536192777
10000,21,93,1893.8744848674
10000,21,93,1899.21386980949
50000,21,5,1904.85253534403
10000,21,4,1910.3751402593
50000,21,5,1944.53288501476
10000,21,4,2011.21410285619
1000,21,10,2052.42404379029
500,21,5,2055.94935327362
5000,21,10,2058.81136311974
1000,21,10,2110.4480029637
1000,21,4,2120.10331580703
50000,21,5,2130.39678047354
1000,21,25,2153.27272660693
1e+05,21,10,2163.31144552355
500,21,25,2216.64210793434
500,21,93,2221.64027525684
10000,21,5,2229.88258742473
500,21,4,2245.36551265955
5000,21,4,2255.59702383363
10000,21,10,2263.64525371418
1e+05,21,4,2272.39464297723
500,21,10,2287.79069222233
1e+05,21,25,2309.47569699329
500,21,10,2332.68818845951
1e+05,21,10,2353.45465401418
10000,21,5,2382.86038387908
1e+05,21,93,2394.79273691364
1000,21,93,2429.57442087609
10000,21,10,2464.78547890325
1000,21,5,2487.12788922217
1e+05,21,5,2492.32456179955
500,21,93,2573.27351536254
1000,21,25,2641.50522090312
500,21,10,2677.75109351305
1000,21,5,2781.2396413226
1e+05,21,5,2883.33059084452
