"maxterms","eps","degree","sum_rsstesthat"
3,5e-06,2,37.5736505666031
3,0.5,16,46.5957165220857
3,1,2,52.2985117290053
3,0.5,4,75.5373909901821
3,0.1,4,81.233964372543
3,0.1,2,93.2360247332653
5,0.005,21,95.442443552933
3,0.1,31,102.091660468909
3,1e-04,31,136.649709474447
3,0.01,16,145.967676037568
5,0.2,10,162.032026599121
3,0.01,2,174.119650359673
5,5e-06,21,176.234110971152
7,0.2,4,189.053913286644
5,0.005,21,210.263532539102
7,5e-06,4,218.641274943129
7,0.005,25,236.402969806228
5,0.005,10,319.207173375218
7,0.005,4,329.905540558896
7,1e-04,21,349.699807610764
11,1,10,424.129293806072
15,5e-05,21,481.541991575321
11,0.5,4,503.719963762724
11,1,2,695.570477312093
11,1e-04,31,792.140861690506
11,0.5,16,888.193602463886
43,0.005,2,1098.13204004467
43,5e-06,31,1267.33697999191
21,0.5,16,1528.81673545383
51,1e-04,10,1620.08264903689
51,5e-05,2,2211.66932255214
51,1e-04,4,2587.85395662962
43,0.01,4,2903.47096690776
43,0.01,4,2989.96698544789
51,0.2,2,4555.59810792023
101,0.1,2,5900.62750503038
11,0.01,31,7736.67817897363
21,5e-05,21,27482.647344509
21,0.2,16,44649.3749366009
101,1,10,215596.254652738
15,0.01,16,555375.961921668
43,0.5,16,3952968.27776971
101,1,25,7808979.34301737
21,1,31,NA
11,0.2,16,NA
101,0.005,25,NA
21,1e-04,16,NA
101,0.005,4,NA
5,5e-05,2,NA
43,0.005,31,NA
