"num_trees","mtry","min_node_size","mean_Z_cv_error"
1e+05,21,4,256.740551576352
10000,21,5,263.045847270155
1000,21,93,266.371488723479
50000,21,25,276.861035431129
1e+05,21,93,278.163591631219
1000,21,10,285.153262255834
5000,21,10,288.509132193851
5000,21,10,292.970227941292
50000,21,10,295.726994129116
1000,21,4,324.433465208439
5000,21,25,329.691037477398
500,21,93,352.835104677717
1e+05,21,93,362.401398098525
10000,21,93,373.589170889725
500,21,93,373.81362074548
1e+05,21,93,373.859224251264
50000,21,93,374.581967213316
50000,21,5,385.31950678499
10000,21,4,394.87037827465
1e+05,21,93,399.150973490891
50000,21,25,403.583303493797
5000,21,93,409.056673497048
1000,21,10,410.657721050077
500,21,93,413.995075641983
50000,21,10,416.637088087613
1000,21,25,422.512980992457
10000,21,10,427.917445561663
10000,21,93,429.336992174343
10000,21,25,439.260041128548
1000,21,25,446.140932460007
1e+05,21,10,449.037033208568
1000,21,4,453.647879685678
50000,21,25,458.258937262735
5000,21,25,458.689002908559
500,21,25,465.242196925914
500,21,5,481.714801303315
10000,21,93,482.955471909614
5000,21,25,498.97943275702
10000,21,5,507.431144975805
1e+05,21,25,522.663098158597
1e+05,21,10,532.194372526928
1e+05,21,4,534.989874787266
50000,21,93,562.750681542577
500,21,10,568.661534274289
1000,21,93,573.615580991198
50000,21,10,578.873556832465
10000,21,25,596.935761489717
10000,21,93,602.694226607997
5000,21,10,614.588167384448
500,21,4,643.779779045126
