"maxterms","eps","degree","sum_rsstesthat"
3,1e-04,16,0.325282016544586
3,1,4,0.374397505297219
3,5e-05,25,0.397690895231779
5,0.01,21,0.708106019906467
5,5e-05,31,0.744660259872624
5,0.2,2,0.78327999947011
5,0.005,21,0.840251216541636
5,5e-05,10,0.881193546171
5,0.01,21,0.977116316959453
7,0.2,2,1.00171735435194
7,1,4,1.16491674609389
7,0.01,4,1.19284173955418
11,1e-04,2,1.86436522916723
11,0.5,21,1.88894473776073
11,0.2,21,1.916309116748
11,0.5,21,2.04022827218111
11,0.1,4,2.12848056641395
11,0.2,10,2.52498734396446
15,1e-04,21,2.61827131443307
15,0.005,25,2.69799085574866
15,5e-05,10,2.78948359565627
21,5e-06,10,3.28976959568716
21,0.005,25,4.05474262138234
21,0.005,16,4.38494943995719
21,1e-04,16,4.50580250952415
21,0.005,10,5.66153925533539
43,0.005,2,6.09851854426892
43,0.01,10,8.7341964663759
43,1e-04,16,8.76593023760326
43,0.005,2,8.88322638067634
51,5e-06,16,8.90812442254753
43,0.005,21,9.06690308266914
51,1e-04,10,10.5474642693308
51,0.01,2,11.0130706534201
51,5e-06,4,11.6458924123283
43,1,21,12.2036764416905
43,0.2,2,12.3150020971511
43,1,10,12.340561285667
51,5e-06,10,15.3017869976416
43,1e-04,16,16.0614254102242
51,0.1,2,18.4049660512782
101,5e-06,16,18.9719328098129
101,0.01,4,19.4320048354397
101,0.01,31,19.4688209979834
101,5e-06,4,22.0824184913127
51,1,16,27.9826548761357
51,1,25,35.5798409285345
101,0.2,2,42.7938759594044
101,0.1,25,210.328987365357
51,0.1,4,181765.94763292
