"num_trees","mtry","min_node_size","mean_Z_cv_error"
50000,21,25,0.840056742825373
50000,21,10,0.854165872532028
500,21,4,0.867081773195876
50000,21,5,0.876883363258245
50000,21,93,0.923166249458981
500,21,4,0.924743998854525
50000,21,25,0.955192244408028
5000,21,10,0.971684602513513
50000,21,4,1.00929533637549
50000,21,93,1.04640029331392
50000,21,10,1.05623661240852
5000,21,5,1.0594054396394
1e+05,21,4,1.06341287380693
10000,21,10,1.0696086630449
500,21,4,1.07876034020619
1e+05,21,25,1.08316023851012
5000,21,4,1.09053651381443
1e+05,21,25,1.09563183731017
500,21,25,1.10563018129479
1e+05,21,25,1.11136313886772
5000,21,5,1.1158024707244
1e+05,21,25,1.12410556457181
500,21,5,1.12528695963345
500,21,25,1.14116742501673
1000,21,10,1.14261362093197
1e+05,21,93,1.15103990732729
500,21,4,1.16111193928981
500,21,93,1.16401378381556
1e+05,21,10,1.16697728527887
1e+05,21,10,1.1723291094906
1e+05,21,10,1.18181431869593
1e+05,21,5,1.18525172932038
500,21,5,1.18821901337915
5000,21,93,1.19984827328352
500,21,25,1.20107551322385
500,21,93,1.21073466051049
500,21,25,1.21186562474641
1e+05,21,5,1.21300832162858
10000,21,93,1.22236385536874
1e+05,21,10,1.22405222158709
500,21,93,1.26548859068881
1000,21,10,1.27492514441935
500,21,93,1.28911133914272
1e+05,21,25,1.31166063087604
1e+05,21,93,1.31501421581035
5000,21,25,1.35894919610501
10000,21,4,1.36254991598511
50000,21,25,1.39763567573704
50000,21,25,1.44078086115806
1000,21,5,1.60735998555556
