"maxterms","eps","degree","sum_rsstesthat"
5,0.01,3,947.451664268794
3,1,19,956.238684214288
3,1e-04,1,998.784079408007
5,1,16,1047.42987355668
7,5e-05,1,1312.40031561191
5,1,1,1334.18073706356
5,0.2,1,1353.38647264825
7,0.005,16,1385.9274330655
7,0.2,12,1676.03030343868
7,0.005,12,1679.87787108805
5,0.01,19,1776.56197459166
7,5e-06,16,2115.04998832739
7,0.2,1,2193.00308292252
7,5e-05,1,2354.73712777862
7,5e-05,1,2531.19328164657
11,0.2,19,2598.63414898116
15,5e-06,12,3192.66004195008
11,0.5,24,3219.16382477479
15,1e-04,24,3274.68549666921
21,5e-06,8,4342.09554810011
15,0.5,24,4459.89279200981
11,1e-04,24,4756.68544000898
11,0.2,3,4805.28993103383
11,5e-06,24,4954.53464860463
21,1e-04,19,5238.88768416414
15,0.5,12,7114.53119845496
15,0.2,12,7446.94537009005
15,1,24,7526.45553262491
11,0.2,16,9105.28336082856
33,5e-05,12,9940.55284058468
33,1,16,11264.2454574433
33,0.01,8,13688.668093557
51,0.1,16,14149.6217785903
33,0.5,12,15787.0464128609
101,1e-04,3,17319.0152135535
51,0.1,8,17820.3517948399
51,0.1,12,18000.3485727088
51,0.2,8,22822.616634719
51,1e-04,19,23234.3160176353
51,5e-05,24,24873.8574032398
51,1e-04,3,25219.2769130003
101,1,1,28365.9021420448
101,0.1,16,31318.374128114
101,0.5,3,32189.2058323014
101,5e-05,24,34488.0432222149
101,0.5,8,43459.6643632583
101,0.5,3,46365.9831620117
101,0.2,24,62569.8623930511
21,0.1,19,248058.985713327
21,1e-04,3,NA
