"num_trees","mtry","min_node_size","mean_Z_cv_error"
10000,26,93,49088.2882968375
500,27,93,57230.0439869019
5000,26,93,57610.0073483398
50000,26,5,57732.9436154297
500,27,10,59073.8741641898
1e+05,27,10,59561.531604243
500,26,10,59754.4939690447
50000,27,5,59800.2606204515
1000,27,93,60966.2571964494
5000,27,93,61215.1350747636
1e+05,27,93,61519.1265784454
1e+05,26,10,61556.3088946964
500,27,93,62344.0041003718
500,26,10,62791.3272364323
5000,26,25,63084.8019115107
5000,27,4,63603.4498802956
500,27,4,63688.6202691516
5000,26,5,63701.9479329996
1e+05,27,4,63709.0638400475
10000,27,4,63917.9881498262
1000,27,93,64053.2320189587
10000,26,25,64069.4675336979
1000,26,10,64282.8428084164
1e+05,26,4,64364.2791328186
5000,26,4,64455.4619585537
50000,26,5,64500.4720394426
500,27,25,65009.2974106774
5000,26,25,65361.5252521815
1e+05,26,93,65414.2101448979
1e+05,27,25,65426.7137688553
50000,27,4,65890.2539903326
10000,27,10,66103.4587449716
1000,27,4,66316.2370356216
5000,27,93,66361.2956390942
5000,26,5,66718.645910556
1e+05,26,25,66921.1107820438
10000,26,4,66941.7313267418
1e+05,27,4,67032.56872083
1000,27,25,67201.7075705433
1000,26,4,67300.6275304117
5000,26,93,67330.0370241559
1000,27,10,67709.0411477455
10000,26,5,68089.6982483358
1000,27,4,70902.7108435999
5000,26,10,71224.8310788494
1e+05,27,93,71268.5850968846
1e+05,27,93,71688.8163026316
1e+05,26,25,71746.5927259455
1000,27,10,74831.4755724929
500,26,4,75909.323926566
