"maxterms","eps","degree","sum_rsstesthat"
3,0.1,32,2873.10167253801
3,0.01,40,3596.95694077907
3,5e-05,13,3625.85890866963
3,0.01,13,3676.27116410649
3,0.1,21,3831.56861837905
3,0.5,40,4201.67655830698
5,5e-06,21,5972.85574161986
5,0.005,2,6091.8889474687
5,0.01,2,6132.31519760157
5,1e-04,21,6549.06355158004
5,0.01,2,6736.05765203917
5,0.5,21,7282.27929859062
7,5e-05,21,7601.13343479117
5,0.5,5,7814.46189470919
7,1e-04,32,8632.28205685396
7,5e-06,5,9723.64336853811
7,1,5,11499.7217696216
11,1e-04,5,15246.1423559816
11,5e-06,32,16570.730394617
11,5e-05,27,19191.3840895291
11,0.2,13,19463.4851968737
15,1e-04,5,23029.979817007
15,5e-05,27,23983.1011703088
11,0.5,2,24589.9207987812
21,5e-06,13,25471.5540123485
21,1e-04,32,30546.7568628799
15,0.2,13,30774.395452301
21,1e-04,5,32415.6696405449
51,1e-04,40,75926.6275715323
51,1e-04,27,77914.8469118473
55,5e-06,40,80942.5370562212
51,1e-04,21,86540.9142441181
55,0.2,2,105201.349423123
101,1e-04,13,182554.695705075
