"num_trees","mtry","min_node_size","mean_Z_cv_error"
10000,27,25,14039.1722985256
1e+05,26,93,14318.2395357254
1000,26,5,14605.445427446
500,26,10,15497.3680217093
1000,27,93,15560.4427638389
1e+05,27,4,15564.7657139552
5000,27,25,15569.7268129757
1e+05,26,5,15584.9913629774
1e+05,27,93,15611.8943244931
500,27,93,15664.245571342
500,27,4,15796.7502520407
1000,26,10,16253.1741692215
5000,27,5,16275.2104053994
500,27,4,16395.2662794048
1e+05,26,5,16430.7135046467
10000,26,25,16566.5221104365
50000,26,93,16742.5489638916
5000,27,4,16766.3617343722
5000,26,10,17175.0703083634
10000,26,25,17499.2025390437
5000,27,10,17553.7018273731
500,27,25,17586.4269798397
1000,27,93,17784.7957907083
10000,27,10,17905.2773421581
1e+05,26,25,17927.1423991717
1e+05,26,10,18090.3237115229
5000,27,5,18254.3647350177
1e+05,27,93,18372.7256344837
10000,26,25,18386.0450751136
500,27,10,18448.7838601807
1e+05,26,5,18640.7120655062
500,27,25,18720.2143195723
1000,27,4,18822.2153646923
1000,27,25,18848.7840275983
50000,26,5,18959.0626152613
5000,26,25,18960.4391860604
5000,27,5,18961.7497702468
5000,27,25,19014.9037894237
1000,27,4,19029.6115898373
500,26,4,19041.1720507257
10000,26,5,19054.7266518644
10000,27,5,19194.4585768436
1000,27,25,19384.5617178632
1000,26,4,20138.9917551427
1e+05,26,25,20231.2137414407
5000,27,25,20449.5946289754
10000,26,4,20670.9533142354
50000,26,10,20802.5661383234
1000,27,25,20909.938492765
500,27,25,21712.0069705251
