"","b","c","alpha","mse","mse_debiased"
"CF",5.1519416169597,14.2158132675318,0,1548.12165606342,1480.29144337338
"CBoost",5.1519416169597,14.2158132675318,0,1526.73298576895,1480.29144337338
"CMARS",5.1519416169597,14.2158132675318,0,1600.99773637031,1480.29144337338
"PTOForest",5.17359884297362,14.3370286118079,0.0601402848019053,1569.3396197481,1480.41501366306
"XBoosting",NA,NA,NA,NA,NA
"XRF",5.1519416169597,14.2158132675318,0,1555.99052074109,1480.29144337338
"XBART",5.1519416169597,14.2158132675318,0,1620.52543508158,1480.29144337338
"RBoosting",5.1519416169597,14.2158132675318,0,1557.90216161146,1480.29144337338
"RLasso",5.1519416169597,14.2158132675318,0,1559.17748429085,1480.29144337338
"RSlearner",5.1519416169597,14.2158132675318,0,1547.55932014685,1480.29144337338
"stack",5.17359884297362,2.20427988840547e-12,0.999999999999844,1480.41501366306,1480.41501366306
