"maxterms","eps","degree","sum_rsstesthat"
3,0.01,24,6263.93995133567
3,0.1,15,10872.2971886266
3,5e-05,6,11790.5607082239
3,5e-05,15,11900.7437981213
3,1,3,12090.9534547801
3,0.005,36,12371.3243846464
5,5e-06,24,21415.5598183798
5,0.01,24,23873.9521457014
5,0.1,30,24918.2104076742
5,0.5,24,26462.3399397104
7,0.005,30,27896.9961568071
5,1e-04,36,28231.2772804094
5,0.01,36,32383.2386460635
7,5e-06,6,33853.5501736384
7,0.005,3,36227.4574895506
15,0.005,3,50745.028820536
11,0.1,30,58122.2510713807
11,5e-05,30,61376.2813595648
7,5e-06,36,66465.6864063226
11,5e-06,45,74431.4633313993
7,0.2,6,83138.940108754
15,0.5,15,102123.830775955
15,0.01,24,116478.536322573
21,5e-05,3,125393.800783485
21,1,24,145659.397998023
51,0.005,15,276546.716700617
51,0.01,45,316427.252025055
51,5e-06,3,326181.132242653
51,1e-04,3,488366.592968499
101,0.01,3,695722.663216347
61,0.01,30,1551979.22079926
51,0.1,3,398343032.104143
