"maxterms","eps","degree","sum_rsstesthat"
3,0.01,36,3082.97097372082
3,0.5,45,3198.24453576752
3,5e-05,36,4546.01514392469
3,0.005,15,4643.47025309029
3,0.2,36,4661.02850341017
3,5e-05,45,5084.5732965846
5,5e-06,30,5584.97926786797
5,1,15,5913.90840288871
5,1e-04,30,7317.08766534673
5,0.2,36,7934.36890422395
7,1,30,8495.69043135351
7,5e-05,30,8958.87907460764
7,1e-04,36,9817.60876842426
5,5e-06,6,9832.8225362272
7,5e-05,3,10107.4122072586
7,5e-06,45,10726.4898376729
7,5e-05,3,11041.5257952888
7,0.01,6,14136.4215930578
7,0.005,36,14538.2616909791
7,0.5,15,16040.9142085007
11,5e-06,45,17892.3895823971
11,0.01,36,18794.6731352286
15,0.1,6,26681.9408878493
15,0.005,6,27751.3051237071
21,1e-04,24,28193.3197240783
15,5e-05,15,28470.1576548304
15,5e-05,30,31586.123765806
21,1,6,39524.7710891204
11,0.5,45,60985.6423583073
21,0.1,3,80953.5879473962
21,1,3,86999.3401719351
51,5e-06,15,131033.023611994
61,1e-04,15,133142.291651674
101,1e-04,45,163178.444055626
101,1e-04,36,269506.663129776
