"","b","c","alpha","mse","mse_debiased"
"CF",4.88970767771816,-16.3204782639413,0.921660965087083,5636.68829597991,5558.65008927985
"CBoost",5.11854022686091,-7.66341363271159,6.66209751170265,5584.55895704451,5568.75587310736
"CMARS",4.98258414114561,-7.5025880119854,0,5862.83528081246,5568.01412650666
"PTOForest",4.98258414114561,-7.5025880119854,0,5749.7965904792,5568.01412650666
"XBoosting",NA,NA,NA,NA,NA
"XRF",4.20039797805063,-29.1715793653348,2.48410970840166,5605.17914082101,5513.63907270138
"XBART",4.81441728188204,-9.38493484506867,0.38290963461442,5624.07616116927,5554.9938293695
"RBoosting",4.28991438595667,-54.6616590265025,89.7702488985893,5585.2703065977,5504.04351493774
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",3.86325167614672,-5.91511190185436e-14,0.999999999999991,5478.04893048008,5478.04893048008
