"","b","c","alpha","mse","mse_debiased"
"CF",0.941130230017203,4.52919327529225,1.19813995847252,1887.13859776332,1878.74019381272
"CBoost",0.90886596465237,11.3278894432628,0,1911.73126464745,1878.84656431321
"CMARS",0.90886596465237,11.3278894432628,0,1924.98493423458,1878.84656431321
"PTOForest",0.999558997008649,10.1019004053148,0.195453814777119,1898.56709977287,1878.28391711815
"XBoosting",NA,NA,NA,NA,NA
"XRF",1.0347026037264,4.4081206804554,0.863200662590944,1880.57551537262,1877.4790357238
"XBART",1.3538536440502,9.08723802178296,0.54979075284428,1892.45206188118,1871.82846259543
"RBoosting",0.90886596465237,11.3278894432628,0,1909.71291563771,1878.84656431321
"RLasso",0.90886596465237,11.3278894432628,0,1913.4746659411,1878.84656431321
"RSlearner",0.90886596465237,11.3278894432628,0,1913.14684128945,1878.84656431321
"stack",1.3538536440502,-7.43355654047144e-14,1,1871.82846259543,1871.82846259543
