"","b","c","alpha","mse","mse_debiased"
"CF",-0.0243201252951867,1.05489398253733,9.87116305801561,0.887398725462068,0.885432632951832
"CBoost",-0.0298366973018164,-0.124694525904203,1.13686837721616e-13,0.891830273624554,0.887822472283118
"CMARS",-0.0317644079967455,-0.0564784338371712,0.627812459140135,0.88096146395577,0.876940586735951
"PTOForest",-0.0235112156106231,0.00296607658351406,0.847977123823419,0.883622767873479,0.883394317601759
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.0276358338228052,-0.0845181806887826,0.367158393832837,0.887870021426989,0.887543941918054
"XBART",-0.0298366973018164,-0.124694525904203,0,0.909693924632957,0.887822472283118
"RBoosting",-0.0297744702335833,-0.125036913523638,0.00879462093951154,0.904553947310228,0.887817952415863
"RLasso",-0.0298366973018164,-0.124694525904203,0,0.889017369019243,0.887822472283118
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.0269289800836006,-7.06886850311228e-16,1,0.874477405450484,0.874477405450484
