"maxterms","eps","degree","sum_rsstesthat"
3,1,78,1731.24644331398
3,0.01,62,2532.11925819679
3,1,5,2934.2461036156
3,1e-04,62,2955.39265179405
3,0.2,62,4374.60253355605
3,1e-04,41,4407.14266350989
5,0.1,41,4613.15605245593
3,1e-04,10,5040.91995783355
3,0.2,78,5113.03494258281
3,0.005,62,5277.54198625559
3,0.005,10,6472.57270512531
5,0.5,41,7231.92092620613
5,0.2,78,7924.13101401032
5,5e-06,10,9421.76990931238
5,1e-04,62,9546.99153247034
5,0.1,52,10160.5911832706
5,0.005,52,10901.2708101186
7,0.005,78,12393.8247418807
11,5e-06,10,13210.2838863122
7,5e-05,10,14372.0790643073
7,1e-04,41,16094.3963503073
7,5e-05,78,16878.0259233743
7,0.1,62,17959.6920688501
11,0.5,41,29006.319037548
15,5e-06,52,35281.2336735422
7,0.1,78,37403.1192380433
15,5e-06,10,55639.2925183874
11,1,52,60050.3380306562
105,5e-06,78,376899.199036474
11,0.2,5,3999550.27297916
101,0.01,10,56650561.058887
