"","num_trees","mtry","min_node_size","mean_Z_cv_error"
"36",1e+05,28,10,195.610373514044
"22",50000,28,93,229.105202616929
"39",5000,28,93,243.064717749569
"48",500,28,10,247.104537409963
"43",5000,28,5,255.408629817625
"45",10000,28,5,262.506544967396
"40",1000,52,4,262.574757501028
"14",5000,28,10,280.870996767147
"41",50000,28,10,283.118103328182
"15",10000,28,4,290.894216825166
"49",1000,52,5,295.016686061468
"26",10000,28,10,296.84930340964
"5",1000,28,5,306.03672216631
"21",1e+05,52,10,310.825594188857
"44",5000,28,93,313.946861921722
"4",1e+05,52,25,327.201497103245
"7",5000,28,5,338.753262349973
"20",500,52,10,338.932650410237
"11",1e+05,52,93,339.697283983121
"25",1e+05,28,4,360.95237774526
"12",10000,52,4,368.238633068359
"31",500,28,25,369.026638226127
"32",50000,52,5,370.372813696266
"30",50000,52,93,374.518895980097
"6",10000,52,25,378.948152696622
"34",1e+05,28,5,387.822719619584
"17",5000,52,4,392.803087279082
"16",10000,28,5,400.251188103464
"50",1000,52,25,430.442346613524
"46",1000,28,5,431.078493451714
"42",1e+05,52,5,432.314758769297
"18",10000,52,5,450.755315965382
"27",50000,28,93,462.274765628412
"10",500,28,5,467.974709424438
"33",500,52,10,471.622160869841
"2",50000,52,4,481.037140615321
"24",10000,52,10,516.1080828551
"19",1e+05,28,10,533.350949271652
"23",50000,52,4,540.484025333172
"29",1e+05,28,93,549.987713344805
"8",1000,28,25,550.172803116785
"1",1000,28,93,551.480962713556
"3",1e+05,52,10,587.81777950448
"13",1e+05,28,5,604.273227709137
"28",50000,52,5,607.600743204327
"35",50000,28,5,654.198516890473
"37",1000,52,5,665.822086605177
"38",50000,52,93,679.013917779102
"47",5000,28,4,691.767219904324
"9",50000,52,4,758.167249298211
