"num_trees","mtry","min_node_size","mean_Z_cv_error"
500,28,10,5694.30951847309
50000,28,5,6898.97369463391
10000,52,5,7612.0456927453
1000,52,10,7664.12973101971
10000,28,10,7737.35150406935
500,28,5,9489.79399246046
5000,28,4,9802.90603119182
500,52,10,9871.66433798534
50000,28,4,9903.82117939316
1e+05,28,93,10251.9963223576
50000,52,5,10333.1990626059
500,28,93,10845.371278834
50000,28,10,11136.6912908334
50000,28,4,11254.8374548978
5000,52,4,11518.7876956082
500,28,5,11528.1043392269
1000,28,4,11549.1103434529
1e+05,28,4,11677.1704138782
10000,28,5,11689.6234449426
500,52,10,11712.3133540423
1000,28,5,12053.1522019178
50000,52,4,12132.5985263493
10000,52,25,12250.5002986833
10000,28,5,12276.4863437956
1000,28,25,12305.0051209392
1e+05,28,10,12312.4352877892
10000,52,4,12544.7606383911
1e+05,28,10,12564.1717316022
5000,52,25,12848.5117540571
10000,28,25,13000.3503158742
1e+05,28,25,13072.3109285415
10000,52,5,13110.8262689399
500,28,93,13313.0406142015
1000,52,25,13318.4001577433
50000,28,25,13679.2955023237
10000,28,25,13726.5952287857
1000,52,25,13772.3473294578
1e+05,52,4,13878.6376374263
1e+05,28,25,13936.9234755959
10000,28,25,14604.1065752442
1e+05,52,25,14622.763900763
1e+05,52,93,15063.0699483179
1e+05,28,10,15269.8182047929
500,28,5,15410.9503932755
10000,52,10,15559.9581903463
50000,28,10,15573.1644426065
1e+05,28,10,17877.8059219041
500,52,93,18779.1372369534
1e+05,28,10,18892.3604754676
50000,28,10,19568.6390740919
