"","b","c","alpha","mse","mse_debiased"
"CF",-3.1198355655852,25.2313495485409,4.72303116858489,3856.05955283605,3833.85626764478
"CBoost",-3.52715580448259,-5.57452450494168,1.13686837721616e-13,3879.76173924548,3869.27158120693
"CMARS",-4.4682122441207,-8.2640779714702,0.663139355332233,3852.07279897159,3797.27020165095
"PTOForest",-4.38445199125514,6.97600382158988,2.11066869584456,3757.72950539626,3717.83950292389
"XBoosting",NA,NA,NA,NA,NA
"XRF",-4.20896037284308,-1.69101779161764,1.37135084250137,3823.78005349438,3817.72477126087
"XBART",-3.65729645702713,5.46178683355339,0.992064826434183,3807.21658219872,3802.31514854643
"RBoosting",-3.52715580448259,-5.57452450494168,0,3918.14884493962,3869.27158120693
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",-4.58503727842066,-3.146241210202e-15,0.999999999999998,3710.96802551848,3710.96802551848
