"","b","c","alpha","mse","mse_debiased"
"CF",7.15585889758673,-3.83526703683581,0.314862487496553,2229.78185126078,2228.90153995397
"CBoost",7.17675401015537,-5.65416429057394,1.81898940354586e-12,2231.87501919532,2229.49763983804
"CMARS",7.17675401015537,-5.65416429057394,0,2872.03566987022,2229.49763983804
"PTOForest",6.82884398873091,-2.17384668330314,0.580101631965996,2217.84580995158,2216.75319211912
"XBoosting",NA,NA,NA,NA,NA
"XRF",7.48121531240779,-4.2769162995509,0.456426695422053,2241.38437395909,2226.80611883833
"XBART",7.24304456898078,-4.96457428147915,0.159899924426622,2311.11293343432,2227.57975187665
"RBoosting",7.17675401015537,-5.65416429057394,5.55111512312578e-17,2233.85087351601,2229.49763983804
"RLasso",NA,NA,NA,NA,NA
"RSlearner",NA,NA,NA,NA,NA
"stack",7.12541888948652,-6.29248242040399e-15,0.999999999999998,2218.92873644439,2218.92873644439
