"","b","c","alpha","mse","mse_debiased"
"CF",-0.469995330521707,1.12132305959316,0,45.7874032413345,44.2316831123453
"CBoost",-0.492926984091754,1.11570683885364,2802.92408153857,44.5378262981119,44.1182779650145
"CMARS",-0.469995330521707,1.12132305959316,0,93.7243555421412,44.2316831123453
"PTOForest",-0.469995330521707,1.12132305959316,0,49.0157298758164,44.2316831123453
"XBoosting",NA,NA,NA,NA,NA
"XRF",-0.469995330521708,1.12132305959316,0,47.5823808347616,44.2316831123453
"XBART",-0.469995330521707,1.12132305959316,0,54.0466405400065,44.2316831123453
"RBoosting",-0.469995330521707,1.12132305959316,0,44.3337387449549,44.2316831123453
"RLasso",-0.942844807513501,0.867436209254118,2.81555047984005,41.8544478064405,40.0742955718062
"RSlearner",NA,NA,NA,NA,NA
"stack",-0.870212423536464,-1.15303278990843e-14,1,39.3320447969628,39.3320447969628
